,currentLocation,participantId,currentMode
41,POINT (1414.7791622923082 3331.7608931825744),41,AtHome
42,POINT (-4398.2543834565 4637.204365012328),42,AtHome
43,POINT (-604.5425301346507 6205.663077468948),43,AtHome
44,POINT (592.6865615487636 626.0149920329762),44,AtHome
45,POINT (-2508.713200348066 6783.37726594192),45,AtHome
46,POINT (-583.0046403572655 6187.016515533001),46,AtHome
47,POINT (-1460.1537460532932 955.2875318639223),47,AtHome
48,POINT (1219.2110639210114 3499.3456481089634),48,AtHome
49,POINT (-1659.8970581130227 6256.300713352074),49,AtHome
50,POINT (2175.6993584489587 4976.439447130084),50,AtHome
51,POINT (1357.7433423875268 3265.1288681545407),51,AtHome
52,POINT (570.8349402894696 1904.4644507325406),52,AtHome
53,POINT (-3329.249928833953 7758.6958694823425),53,AtHome
54,POINT (1011.6371106179822 4572.68963025417),54,AtHome
55,POINT (-1590.3908790256119 1882.6417834648523),55,AtHome
56,POINT (2264.203852555873 4065.5602161190236),56,AtHome
57,POINT (2205.7400940450148 5216.3176837740175),57,AtHome
58,POINT (-1101.839043256292 2497.570196722187),58,AtHome
59,POINT (-2520.8523100951006 6201.628822676936),59,AtHome
60,POINT (1273.1741133539615 1176.0682488484108),60,AtHome
61,POINT (-1397.177426276214 2186.3340847244535),61,AtHome
62,POINT (-1408.9754669453816 2152.8950479975415),62,AtHome
63,POINT (2110.80817009729 5019.169190411168),63,AtHome
64,POINT (-496.78679320129623 1847.4222323734825),64,AtHome
65,POINT (955.7157859498368 338.98841714798596),65,AtHome
66,POINT (-1011.1007975934829 1342.738828543158),66,AtHome
67,POINT (1743.037507219923 5258.894946703521),67,AtHome
68,POINT (-1473.590901147153 877.1033836945335),68,AtHome
69,POINT (526.4015381963275 4322.955915190171),69,AtHome
70,POINT (2238.526068759931 4055.222885312164),70,AtHome
71,POINT (2223.6100948058197 4062.7376541474628),71,AtHome
72,POINT (-509.4026272878675 6224.1966196306375),72,AtHome
73,POINT (-1351.8065031851245 2115.9050324614464),73,AtHome
74,POINT (1.9755335623945705 5341.431450701076),74,AtHome
75,POINT (1254.089690625238 4852.6963917320545),75,AtHome
76,POINT (-1338.6352399471666 2154.9030760794763),76,AtHome
77,POINT (1993.1409593405124 5311.325298938236),77,AtHome
78,POINT (-2516.724001701027 2495.470079198975),78,AtHome
79,POINT (-2451.4918680777023 2427.775105006013),79,AtHome
80,POINT (1915.2859842403648 5312.093781653036),80,AtHome
81,POINT (601.7277385647054 3556.6658950219626),81,AtHome
82,POINT (507.67823222944736 1468.4914493644562),82,AtHome
83,POINT (-135.7936772057236 3415.6326140452566),83,AtHome
84,POINT (-1947.9008938556433 2093.9206315099636),84,AtHome
85,POINT (-1350.688345439653 1990.3876347179978),85,AtHome
86,POINT (-1636.9730511712182 806.1608366025896),86,AtHome
87,POINT (355.6243619780982 5044.255146336895),87,AtHome
88,POINT (18.422209722405302 5367.142858130735),88,AtHome
89,POINT (-1218.0484947359735 3213.228538710721),89,AtHome
90,POINT (-1142.1337111008247 3196.0977945056115),90,AtHome
91,POINT (-92.60471318609663 5320.25623098304),91,AtHome
92,POINT (2015.3436745883612 4870.663786883867),92,AtHome
93,POINT (1793.6070630120769 3456.5396868773805),93,AtHome
94,POINT (2037.5840188812192 4898.759127722423),94,AtHome
95,POINT (-1430.7484411588418 1976.1815826195873),95,AtHome
96,POINT (-1425.0373135113339 2004.631970219612),96,AtHome
97,POINT (-186.01876942421933 1524.3262297635556),97,AtHome
98,POINT (-1434.973262420595 1987.3098980394846),98,AtHome
99,POINT (-375.1399391748131 1854.6659320088543),99,AtHome
100,POINT (-4574.968826688322 7279.39539289574),100,AtHome
101,POINT (-4498.556931980856 4745.72483046643),101,AtHome
102,POINT (-573.7199715683724 5126.47392427598),102,AtHome
103,POINT (-436.3046057227951 5259.060541114311),103,AtHome
104,POINT (338.54791328924017 5069.755864313634),104,AtHome
105,POINT (2192.7767242363825 4933.177065424005),105,AtHome
106,POINT (2073.8637698881444 4940.4130254975),106,AtHome
107,POINT (-313.9595206019376 1855.7111170429162),107,AtHome
108,POINT (-525.4829433610961 5221.482766829596),108,AtHome
109,POINT (-2601.4844616292808 3065.960220454799),109,AtHome
110,POINT (-2639.6767056678714 3068.6493948638636),110,AtHome
111,POINT (-0.6024375446853782 3515.4558801586313),111,AtHome
112,POINT (-1670.5719329789977 2056.786442336958),112,AtHome
113,POINT (664.1877750440672 3797.8522890989393),113,AtHome
114,POINT (1717.835876212559 3409.851566604102),114,AtHome
115,POINT (1707.054412521753 3353.9564355132256),115,AtHome
116,POINT (-1565.3234939821336 2806.0061159727093),116,AtHome
117,POINT (926.7631461210617 4556.802589624075),117,AtHome
118,POINT (-1549.703019459702 2831.956395342448),118,AtHome
119,POINT (1227.418350577647 544.2222199132481),119,AtHome
120,POINT (859.3593928785715 1623.0523610677237),120,AtHome
121,POINT (-1413.2561545952765 898.2120522402657),121,AtHome
122,POINT (-1439.9430760430084 2473.1464529500436),122,AtHome
123,POINT (-3332.182456321242 7584.930454768431),123,AtHome
124,POINT (-4583.176447126485 4729.65080569796),124,AtHome
125,POINT (-10.355978118767254 3472.3896742182696),125,AtHome
126,POINT (-220.903527022639 5249.64901309842),126,AtHome
127,POINT (52.04632353952928 1113.061243825332),127,AtHome
128,POINT (1601.3567543010552 4018.464562858439),128,AtHome
129,POINT (1060.9437633037428 1260.5865662978981),129,AtHome
130,POINT (1164.0738962286796 1544.2252567547262),130,AtHome
131,POINT (584.3136574360803 3747.881720872645),131,AtHome
132,POINT (-465.7493339369287 1398.3123022928),132,AtHome
133,POINT (-490.60482925640764 1397.1241432443894),133,AtHome
134,POINT (-603.140665680056 5132.275080109213),134,AtHome
135,POINT (-442.4532523883974 1701.7748890076932),135,AtHome
136,POINT (-713.1912937024488 1581.4161205086782),136,AtHome
137,POINT (-219.47029345311603 5326.802185264626),137,AtHome
138,POINT (1308.4011256519482 4426.230652612812),138,AtHome
139,POINT (1299.4420599853365 4453.380068639174),139,AtHome
140,POINT (-2632.944608595766 6288.656766845932),140,AtHome
141,POINT (-2010.897184409088 1966.574194757472),141,AtHome
142,POINT (-1518.5285690366604 1161.9631681113808),142,AtHome
143,POINT (-498.4021979849775 5934.483427889883),143,AtHome
144,POINT (-1855.2628137937074 1652.8292021799746),144,AtHome
145,POINT (-379.1399925988855 5265.167361171224),145,AtHome
146,POINT (1173.3309459111763 3158.686042666584),146,AtHome
147,POINT (1677.934762896425 3228.4322363187243),147,AtHome
148,POINT (-2622.4693542048503 6305.882211709785),148,AtHome
149,POINT (-388.544701171866 5274.671154781031),149,AtHome
150,POINT (-611.3816071271943 5211.062898551801),150,AtHome
151,POINT (-622.5463414546522 5159.840414637389),151,AtHome
152,POINT (2105.2621147090945 5334.454000089414),152,AtHome
153,POINT (-1588.1040683361184 1726.0704084148279),153,AtHome
154,POINT (1259.4008655578116 1350.5550501603684),154,AtHome
155,POINT (-474.0909044214035 5954.904809593169),155,AtHome
156,POINT (795.3027355381611 415.55936820390906),156,AtHome
157,POINT (-1286.336077813878 3285.447656269636),157,AtHome
158,POINT (1071.7663972500707 643.2237663609594),158,AtHome
159,POINT (-1231.7319881481164 3467.740761780779),159,AtHome
160,POINT (-1618.1131464263558 6082.465710436708),160,AtHome
161,POINT (1193.7334301302428 565.8920365732027),161,AtHome
162,POINT (2493.884306563122 4054.5689731091297),162,AtHome
163,POINT (-1660.5951122809852 6062.518353345776),163,AtHome
164,POINT (620.1155538963543 2389.277154299279),164,AtHome
165,POINT (580.5195669633262 3735.05475997133),165,AtHome
166,POINT (1081.345703863062 689.1167654655084),166,AtHome
167,POINT (1379.8778748152295 4712.286004027333),167,AtHome
168,POINT (1816.1685312652548 5171.175206952844),168,AtHome
169,POINT (-1361.0006661216942 2065.6162438417405),169,AtHome
170,POINT (-2720.3568123686973 6848.502579431824),170,AtHome
171,POINT (-1541.3231057723094 5600.609909304979),171,AtHome
172,POINT (-1942.6730411445426 1980.7509407987293),172,AtHome
173,POINT (-199.80739778198915 1611.731282035355),173,AtHome
174,POINT (1316.0728786715365 3227.6859640235043),174,AtHome
175,POINT (1782.3951213881348 3414.441176959483),175,AtHome
176,POINT (354.92667736862916 4148.692258927901),176,AtHome
177,POINT (2414.336435689438 5379.863523612927),177,AtHome
178,POINT (574.8943710724894 1813.7655243245533),178,AtHome
179,POINT (39.409511757463186 1082.2328031003733),179,AtHome
180,POINT (-174.39827933640387 1616.354671301628),180,AtHome
181,POINT (1251.3285623378465 4909.320822311027),181,AtHome
182,POINT (1820.5398221455368 4460.839370202472),182,AtHome
183,POINT (563.1687882586755 1795.5555172479515),183,AtHome
184,POINT (1573.5085335090662 4042.3890107387842),184,AtHome
185,POINT (577.0627972952155 1807.733517788687),185,AtHome
186,POINT (588.6624903281695 1701.1431019383906),186,AtHome
187,POINT (571.0610495914086 1705.724395694057),187,AtHome
188,POINT (1308.0915448803137 4741.777586786875),188,AtHome
189,POINT (1295.5340668071733 4748.842825210253),189,AtHome
190,POINT (1770.5650484085725 3286.3888669699713),190,AtHome
191,POINT (1771.3275804120506 3341.1956510570362),191,AtHome
192,POINT (1285.6383293078716 4726.877299229724),192,AtHome
193,POINT (1596.9855257378151 4040.0966203931084),193,AtHome
194,POINT (1300.022125854812 4734.069216243433),194,AtHome
195,POINT (1595.9348069502726 4037.668795448345),195,AtHome
196,POINT (1240.973758666241 513.0980997364184),196,AtHome
197,POINT (1267.1464684951388 3622.504787056491),197,AtHome
198,POINT (1578.7520452307883 4035.5684495070177),198,AtHome
199,POINT (1176.658806957914 3153.5278367726637),199,AtHome
200,POINT (1593.5571897897012 4025.408786366203),200,AtHome
201,POINT (569.8744106571446 1690.2099782193063),201,AtHome
202,POINT (1274.9620550386078 4423.530931602868),202,AtHome
203,POINT (-840.0744762437234 1636.8373984737436),203,AtHome
204,POINT (581.5018399921794 1706.3417650325132),204,AtHome
205,POINT (-2731.2365717615 6843.267689579297),205,AtHome
206,POINT (2468.027310102608 5208.8512655235245),206,AtHome
207,POINT (-749.1181401292539 1654.3332458639254),207,AtHome
208,POINT (2256.8967537035414 5347.655739103048),208,AtHome
209,POINT (-743.6869059555171 1654.682066914351),209,AtHome
210,POINT (-426.6644812473655 1697.7513675583173),210,AtHome
211,POINT (-759.9703931769521 1641.7892380381643),211,AtHome
212,POINT (1260.2309944982098 1148.9964240517431),212,AtHome
213,POINT (1415.5890432654378 4940.91794072539),213,AtHome
214,POINT (1419.406128618074 4921.012361040348),214,AtHome
215,POINT (1411.5688050146657 4929.435840811374),215,AtHome
216,POINT (-745.8963444464756 1639.8868996794452),216,AtHome
217,POINT (598.396778270009 3451.306125670783),217,AtHome
218,POINT (120.7438900575549 4044.859517641698),218,AtHome
219,POINT (1500.798809887274 3323.391011908242),219,AtHome
220,POINT (587.7836330517929 1483.9791682760022),220,AtHome
221,POINT (588.24129100483 3475.6105422809355),221,AtHome
222,POINT (2215.392449903611 4769.681157920286),222,AtHome
223,POINT (595.5005918880431 1786.8685911919665),223,AtHome
224,POINT (1488.943201362342 3319.92292314603),224,AtHome
225,POINT (1495.8455901318048 3320.5815298143275),225,AtHome
226,POINT (200.30530797883364 1293.7754727507527),226,AtHome
227,POINT (-737.4367272415781 1384.0885789058686),227,AtHome
228,POINT (595.6114137678455 3448.2388672434245),228,AtHome
229,POINT (599.5116378839258 1510.0618321751404),229,AtHome
230,POINT (198.3295277288202 1299.360903370048),230,AtHome
231,POINT (-657.612879571573 1593.8461774298503),231,AtHome
232,POINT (1212.1762869259765 4886.370451390932),232,AtHome
233,POINT (577.5048472892462 1503.081581425309),233,AtHome
234,POINT (-1782.2457785250274 1702.734863586154),234,AtHome
235,POINT (525.0873240468296 4418.827779090524),235,AtHome
236,POINT (534.869503473957 4412.508707969395),236,AtHome
237,POINT (535.4874987111288 4426.070086468944),237,AtHome
238,POINT (600.1687578891527 1530.4524401615397),238,AtHome
239,POINT (222.2585412131388 1810.2952358591588),239,AtHome
240,POINT (2409.7559376435624 4346.312086368327),240,AtHome
241,POINT (596.2257073221284 1519.5441978913152),241,AtHome
242,POINT (-709.4812621708186 6327.535433757444),242,AtHome
243,POINT (1245.9236702634607 3252.527900518728),243,AtHome
244,POINT (2042.1063610730464 4363.877597548604),244,AtHome
245,POINT (1311.5125194359287 3615.960574934571),245,AtHome
246,POINT (2142.9119426448406 4759.893826417769),246,AtHome
247,POINT (605.0352009405825 3204.860613802215),247,AtHome
248,POINT (1301.8046215175636 3618.213478596),248,AtHome
249,POINT (1312.2722771083413 3535.58422740479),249,AtHome
250,POINT (1195.8718307906815 3252.6025739598585),250,AtHome
251,POINT (18.358412861556058 94.94395411560458),251,AtHome
252,POINT (-1183.6353250747331 2605.068020437779),252,AtHome
253,POINT (-1311.5587476221624 2561.2400714292203),253,AtHome
254,POINT (-1662.166147963861 6058.983160804273),254,AtHome
255,POINT (-1662.9076138531102 3423.306359798641),255,AtHome
256,POINT (-2454.4104899151394 3274.2213479716106),256,AtHome
257,POINT (-1363.6746703562285 2605.1032262421472),257,AtHome
258,POINT (-1774.0073533619118 4052.620422758957),258,AtHome
259,POINT (-1632.563259932197 6104.204284626621),259,AtHome
260,POINT (-1230.2800729737107 3319.4323014799825),260,AtHome
261,POINT (-1338.6719765317941 2695.8276623978604),261,AtHome
262,POINT (-1207.7108212473022 3296.111075116708),262,AtHome
263,POINT (-4600.671636552691 7599.163509369166),263,AtHome
264,POINT (-4586.913610841385 7601.519028694648),264,AtHome
265,POINT (-4573.459436358925 7347.185981322279),265,AtHome
266,POINT (-1317.8769440429232 3727.078804371119),266,AtHome
267,POINT (-2373.5816603264843 2428.9526870926775),267,AtHome
268,POINT (-4578.54656742065 7518.832664638027),268,AtHome
269,POINT (-1301.0783781355212 2681.9601886546184),269,AtHome
270,POINT (-4614.557309860481 5147.32940254623),270,AtHome
271,POINT (-2256.993785730668 2505.292581560297),271,AtHome
272,POINT (-1601.8745377759506 4738.945967988204),272,AtHome
273,POINT (-1877.410051384654 3498.347374395098),273,AtHome
274,POINT (-2262.474481928876 3114.5175890903647),274,AtHome
275,POINT (-1911.2298992097242 5810.175885059182),275,AtHome
276,POINT (-4491.610991038857 5127.064931972906),276,AtHome
277,POINT (-662.6017309912244 4864.729100012163),277,AtHome
278,POINT (-4435.45076219274 5129.890834026021),278,AtHome
279,POINT (-1561.1277720338785 2818.593814437167),279,AtHome
280,POINT (-2623.9072001949207 6601.185809944629),280,AtHome
281,POINT (-2241.4025062167552 2507.920296369679),281,AtHome
282,POINT (-2618.4758035519317 6616.094271288946),282,AtHome
283,POINT (-694.5856243594246 4887.887968912156),283,AtHome
284,POINT (-604.7941119699747 6032.747408703904),284,AtHome
285,POINT (-2285.0775557768707 2757.1522799160543),285,AtHome
286,POINT (-1439.737579233963 2699.318680612109),286,AtHome
287,POINT (-2501.1221406845975 2593.95781698129),287,AtHome
288,POINT (-1939.4337079430575 2778.587272628604),288,AtHome
289,POINT (-562.086846930087 4876.617948618355),289,AtHome
290,POINT (-579.6766535454583 6041.226931048339),290,AtHome
291,POINT (-2442.898391244556 2567.7615772184154),291,AtHome
292,POINT (-562.1445582365948 4860.331840691551),292,AtHome
293,POINT (-595.4932176287018 6075.069169884037),293,AtHome
294,POINT (-2534.9703034763043 4564.285809488242),294,AtHome
295,POINT (-2470.1224936633544 2607.1393430691137),295,AtHome
296,POINT (-1438.2332547539638 2611.748276217267),296,AtHome
297,POINT (-4333.515968465038 7615.737312613843),297,AtHome
298,POINT (-2116.466402535784 2650.9358943977804),298,AtHome
299,POINT (-2243.5448297967127 2850.638884025519),299,AtHome
300,POINT (-4373.855410403976 7616.6418731335725),300,AtHome
301,POINT (-2002.5283978698928 3479.9804012261734),301,AtHome
302,POINT (-4504.755304520494 4806.5017413951255),302,AtHome
303,POINT (-2189.4862839531493 2831.767758541419),303,AtHome
304,POINT (-4428.791834410917 7538.537408091491),304,AtHome
305,POINT (-534.1316475698052 4783.913405574674),305,AtHome
306,POINT (-4440.967491126279 7506.096430807571),306,AtHome
307,POINT (-2365.92810984519 4537.501613012345),307,AtHome
308,POINT (-3659.9455014118075 5700.540521028926),308,AtHome
309,POINT (-3064.912565138016 6024.384022015639),309,AtHome
310,POINT (-3660.661652333123 4826.716098292372),310,AtHome
311,POINT (-2523.7603877536035 4536.050220542302),311,AtHome
312,POINT (-2400.440960327807 5867.796703632828),312,AtHome
313,POINT (-3653.7001033596434 4802.179237690303),313,AtHome
314,POINT (-2459.039092455746 2982.023367543819),314,AtHome
315,POINT (-3624.1610921193574 5661.511861934462),315,AtHome
316,POINT (-1791.2010589212853 5848.289718840059),316,AtHome
317,POINT (-2384.220843707006 2870.4897426167495),317,AtHome
318,POINT (-2459.7544619357823 3053.668429981706),318,AtHome
319,POINT (-3339.738628192608 5572.408724311929),319,AtHome
320,POINT (-561.2541452995672 4861.258086269467),320,AtHome
321,POINT (-1962.9652693200424 4548.857435188247),321,AtHome
322,POINT (-2506.0187192007047 4570.160002969814),322,AtHome
323,POINT (-1622.926008783079 4770.590213297557),323,AtHome
324,POINT (-3612.205005539718 5719.0686926678245),324,AtHome
325,POINT (-1198.6242486468163 3068.55143298963),325,AtHome
326,POINT (-1257.2961138532453 3052.084873050113),326,AtHome
327,POINT (-3667.868435242565 4810.214863385205),327,AtHome
328,POINT (-1099.8182546721594 3030.9610314766505),328,AtHome
329,POINT (-1624.6364536455433 5983.342110677975),329,AtHome
330,POINT (-1698.9928815786132 3773.5966598544746),330,AtHome
331,POINT (-1100.628103356437 2991.8794309319906),331,AtHome
332,POINT (-1554.9910108901931 5924.0332478370465),332,AtHome
333,POINT (-1526.8889347157697 5940.367229053723),333,AtHome
334,POINT (-4184.4086495505 5813.142739444134),334,AtHome
335,POINT (-4248.819387006125 5788.522023451577),335,AtHome
336,POINT (-1221.1177227396242 3008.5997338425304),336,AtHome
337,POINT (-4594.621089341681 4844.792221097786),337,AtHome
338,POINT (-1068.7657761917137 3485.8168341163882),338,AtHome
339,POINT (-4516.012364699888 7423.657066568119),339,AtHome
340,POINT (-4582.39247860098 4827.97280298465),340,AtHome
341,POINT (-4195.676925595015 4897.511593308026),341,AtHome
342,POINT (-1209.801145892734 2993.6850534071823),342,AtHome
343,POINT (-3389.335645230258 7144.3780989651705),343,AtHome
344,POINT (-4586.54919027507 4800.050799355409),344,AtHome
345,POINT (-1225.304244503475 2991.0160306471216),345,AtHome
346,POINT (-1182.3184041259321 4381.445074319496),346,AtHome
347,POINT (-4205.864676357434 4901.163152284308),347,AtHome
348,POINT (-1130.1193865733924 2802.8119711319755),348,AtHome
349,POINT (-1199.6935402565507 2912.16419585481),349,AtHome
350,POINT (-1196.639293482018 2875.2701617305843),350,AtHome
351,POINT (-3368.2159495152814 7175.642938217877),351,AtHome
352,POINT (-2248.5031082860805 2509.884528754595),352,AtHome
353,POINT (-1207.1161522236457 2895.895189664184),353,AtHome
354,POINT (-3392.3560445747407 7146.532919570891),354,AtHome
355,POINT (-1970.2535978351111 4563.743812385769),355,AtHome
356,POINT (-1998.49506550216 3105.8198804754766),356,AtHome
357,POINT (-1064.2473286048946 2411.2311430629634),357,AtHome
358,POINT (-1578.3241572976324 3810.576991082258),358,AtHome
359,POINT (-2434.1418800219876 3171.506940813787),359,AtHome
360,POINT (-1023.5928882400924 2417.845832751361),360,AtHome
361,POINT (-3901.4835499643664 7457.8475544263565),361,AtHome
362,POINT (-2267.7493743788646 5028.4397363483195),362,AtHome
363,POINT (-1924.2159256906089 2768.603159629036),363,AtHome
364,POINT (-3326.472915179759 7418.6298403975325),364,AtHome
365,POINT (-1959.612619667316 2806.5418624505733),365,AtHome
366,POINT (-3320.2990907870203 7320.148943996546),366,AtHome
367,POINT (-3328.9835309039827 7438.858405609549),367,AtHome
368,POINT (-4358.880233143497 7565.133607923599),368,AtHome
369,POINT (-4310.6205211837005 7422.912496765995),369,AtHome
370,POINT (-1986.9963182711988 4569.521278744788),370,AtHome
371,POINT (-1062.346058478995 3495.849766278384),371,AtHome
372,POINT (-1019.3107265764518 3818.682846192285),372,AtHome
373,POINT (-2014.1489753523679 4777.663378548366),373,AtHome
374,POINT (-2205.190246089389 3173.575583895354),374,AtHome
375,POINT (-4507.892057542517 4987.942961995617),375,AtHome
376,POINT (-4524.690918788527 4888.139820285211),376,AtHome
377,POINT (-4445.990440003654 4896.120899469506),377,AtHome
378,POINT (-558.9865959211788 4894.39338535031),378,AtHome
379,POINT (-3370.8429066942085 5184.208775688826),379,AtHome
380,POINT (-2167.9524014382514 2537.002037730642),380,AtHome
381,POINT (-1933.3787060780535 2790.9352349339492),381,AtHome
382,POINT (-1106.2133466789576 3071.2006289247247),382,AtHome
383,POINT (-1239.5350994511268 3613.8443250960777),383,AtHome
384,POINT (-1316.6175407308417 3499.027828712918),384,AtHome
385,POINT (-1194.0175644198266 2713.530791786246),385,AtHome
386,POINT (-2381.1881119013156 4714.803631580487),386,AtHome
387,POINT (-2148.351337289022 2598.646649596783),387,AtHome
388,POINT (-2300.3377558350776 5042.222403181147),388,AtHome
389,POINT (-1445.5359169967742 2421.384615530726),389,AtHome
390,POINT (-1710.7423228864238 3755.2547054832744),390,AtHome
391,POINT (-2730.2857598556793 6842.811595254248),391,AtHome
392,POINT (-2096.355809334171 3273.776021084338),392,AtHome
393,POINT (-2348.1177686819206 4595.1383764736265),393,AtHome
394,POINT (-2460.476417300966 2527.5847373992437),394,AtHome
395,POINT (-767.4613794418494 4456.950323543237),395,AtHome
396,POINT (-1133.5860016991571 4009.946794086544),396,AtHome
397,POINT (-1242.3659533460157 3226.103279105531),397,AtHome
398,POINT (-2346.590537454686 3089.0899545184902),398,AtHome
399,POINT (-701.0008806512359 6324.598703209237),399,AtHome
400,POINT (-2358.1029982930977 4522.886813031062),400,AtHome
401,POINT (-718.848317139202 6348.727476809763),401,AtHome
402,POINT (-690.1662100462155 6323.9480215371395),402,AtHome
403,POINT (-2090.798249689286 3678.692931908172),403,AtHome
404,POINT (-2735.451443505526 6860.5732707148145),404,AtHome
405,POINT (-1210.3610147505167 2377.388407807117),405,AtHome
406,POINT (-2259.5931068708887 2675.584611574717),406,AtHome
407,POINT (-1292.3265110705427 3502.3689902582296),407,AtHome
408,POINT (-1394.1368291910871 4668.442933309888),408,AtHome
409,POINT (-1620.5865152362605 3641.318449722888),409,AtHome
410,POINT (-4540.301124396293 6985.010462454658),410,AtHome
411,POINT (-1561.1903194801348 2807.7740364603333),411,AtHome
412,POINT (-1619.6814433867187 5595.154266781606),412,AtHome
413,POINT (-4134.2864924654805 7410.603923315937),413,AtHome
414,POINT (-4082.113966624071 7403.398656687532),414,AtHome
415,POINT (-4137.147501087863 7410.179130787083),415,AtHome
416,POINT (-1610.8259240859934 3623.641989591707),416,AtHome
417,POINT (-1682.1128440747607 3815.387676630701),417,AtHome
418,POINT (-1037.486578142945 3616.7432205529217),418,AtHome
419,POINT (-1530.0918788301894 5649.06197186827),419,AtHome
420,POINT (1307.8497381984043 3516.2782872080497),420,AtHome
421,POINT (-1230.3858387614157 3079.8013896202624),421,AtHome
422,POINT (-1143.1739513334599 2899.1815293197105),422,AtHome
423,POINT (1304.2698900555138 3620.7559570413537),423,AtHome
424,POINT (-1665.761173721802 4090.6640641045947),424,AtHome
425,POINT (-1063.6047304911226 2912.0056820197597),425,AtHome
426,POINT (-2484.683711474812 2500.179201388168),426,AtHome
427,POINT (-548.2700738227305 4804.952260898627),427,AtHome
428,POINT (1305.0254988424501 3611.747815603176),428,AtHome
429,POINT (-667.130460630689 6381.226558853645),429,AtHome
430,POINT (-2286.0445170956937 5007.434540608557),430,AtHome
431,POINT (-2373.464334269478 2438.527917877558),431,AtHome
432,POINT (-2343.405290888888 2874.5936821043138),432,AtHome
433,POINT (-1651.9374347777432 5620.078627851311),433,AtHome
434,POINT (-1436.758236063943 2402.842544549952),434,AtHome
435,POINT (-2267.7053916289133 4992.151656831476),435,AtHome
436,POINT (-1672.6617353002493 4045.468253837507),436,AtHome
437,POINT (-1275.1917678903053 3244.6584232904074),437,AtHome
438,POINT (-1182.721609432994 2393.2950956797463),438,AtHome
439,POINT (-1113.8044992533053 4386.3620784193545),439,AtHome
440,POINT (-1694.5109709495587 5720.470348063601),440,AtHome
441,POINT (-2016.80144140617 4968.728757285944),441,AtHome
442,POINT (-2593.3384230544716 3047.3719991853977),442,AtHome
443,POINT (-1497.4400062756617 5082.110660401991),443,AtHome
444,POINT (-1747.9791595503464 5706.133863082172),444,AtHome
445,POINT (-1549.185600630916 2808.9486092084253),445,AtHome
446,POINT (-2619.2589823419485 6880.244418253359),446,AtHome
447,POINT (-1578.0077782280796 4740.0889829815005),447,AtHome
448,POINT (-1162.9191902913742 4489.935192244259),448,AtHome
449,POINT (-1623.972190714906 3670.0155780743544),449,AtHome
450,POINT (-2379.7211852778946 2525.5744597706093),450,AtHome
451,POINT (-1178.7526125714032 4466.470304755871),451,AtHome
452,POINT (-552.7555177084527 4886.199990300619),452,AtHome
453,POINT (-1387.0900391253806 4635.40922836449),453,AtHome
454,POINT (-2627.7859520117345 6870.093825292776),454,AtHome
455,POINT (-2635.26439594369 6865.210791983957),455,AtHome
456,POINT (-2364.2709548364005 4911.939648385907),456,AtHome
